2026-02-21 22:03:01 INFO  LogHelper:13 - Entering password
2026-02-21 22:03:05 INFO  LogHelper:13 - Clicking login button
2026-02-21 22:03:08 INFO  LogHelper:13 - Login successful, Time At Work verified
2026-02-21 22:03:08 INFO  LogHelper:13 - ===== Login Test Completed =====
2026-02-21 22:03:08 INFO  BaseClass:43 - ===== Test Teardown Started =====
2026-02-21 22:03:09 INFO  BaseClass:47 - Browser closed successfully
2026-02-21 22:03:09 INFO  BaseClass:21 - ===== Test Setup Started =====
2026-02-21 22:03:17 INFO  BaseClass:36 - Browser launched: chrome
2026-02-21 22:03:17 INFO  BaseClass:37 - Navigated to URL: https://opensource-demo.orangehrmlive.com/web/index.php/auth/login
2026-02-21 22:03:17 INFO  BaseClass:38 - ExtentTest created for: testValidLogoutHRM
2026-02-21 22:03:17 INFO  LogHelper:13 - ====== Starting Logout Test ======
2026-02-21 22:03:17 INFO  LogHelper:13 - Entering email
2026-02-21 22:03:21 INFO  LogHelper:13 - Entering password.
2026-02-21 22:03:24 INFO  LogHelper:13 - Clicking login button
2026-02-21 22:03:27 INFO  LogHelper:13 - Clicking profile tab
2026-02-21 22:03:31 INFO  LogHelper:13 - Clicking signout tab
2026-02-21 22:03:35 INFO  LogHelper:13 - Logout successful, user signed out
2026-02-21 22:03:35 INFO  LogHelper:13 - ===== Logout Test Completed =====
2026-02-21 22:03:35 INFO  BaseClass:43 - ===== Test Teardown Started =====
2026-02-21 22:03:36 INFO  BaseClass:47 - Browser closed successfully
2026-02-21 22:03:36 INFO  BaseClassAK:23 - ======== Test Setup Started ========
2026-02-21 22:03:40 INFO  BaseClassAK:40 - Browser launched: null
2026-02-21 22:03:40 INFO  BaseClassAK:41 - Navigated to URL: https://signup.heroku.com/login
2026-02-21 22:03:40 INFO  BaseClassAK:42 - ExtentTest create for: TestLogin
2026-02-21 22:03:40 INFO  LogHelper:13 - ===== Starting Login Test =====
2026-02-21 22:03:40 INFO  LogHelper:13 - Entering first name
2026-02-21 22:03:40 INFO  LogHelper:13 - Entering Last name
2026-02-21 22:03:40 INFO  LogHelper:13 - Entering email address
2026-02-21 22:03:40 INFO  LogHelper:13 - Entering company
2026-02-21 22:03:41 INFO  LogHelper:13 - Entering region
2026-02-21 22:03:43 INFO  LogHelper:13 - Signup successful
2026-02-21 22:03:43 INFO  LogHelper:13 - ===== Login Test Completed =====
2026-02-21 22:03:43 INFO  BaseClassAK:47 - ===== Teardown Started =====
2026-02-21 22:03:43 INFO  BaseClassAK:51 - Browser closed successfully
2026-02-21 22:03:44 INFO  BaseClassAK:58 - Extent Reports flushed
2026-02-21 22:03:44 INFO  BaseClass:60 - Extent Reports flushed
