2026-02-20 12:38:35 INFO  BaseClass:24 - ===== Test Setup Started =====
2026-02-20 12:38:44 INFO  BaseClass:41 - Browser launched: chrome
2026-02-20 12:38:44 INFO  BaseClass:42 - Navigated to URL: https://opensource-demo.orangehrmlive.com/web/index.php/auth/login
2026-02-20 12:38:44 INFO  BaseClass:43 - ExtentTest created for: testValidLogin
2026-02-20 12:38:44 INFO  LogHelper:13 - ===== Starting Login Test ======
2026-02-20 12:38:44 INFO  LogHelper:13 - Entering email
2026-02-20 12:38:50 INFO  LogHelper:13 - Entering password
2026-02-20 12:38:53 INFO  LogHelper:13 - Clicking login button
2026-02-20 12:38:59 INFO  LogHelper:13 - Login successful, Time At Work verified
2026-02-20 12:38:59 INFO  LogHelper:13 - ===== Login Test Completed =====
2026-02-20 12:38:59 INFO  BaseClass:49 - ===== Test Teardown Started =====
2026-02-20 12:38:59 INFO  BaseClass:53 - Browser closed successfully
